Year;WMI;Brand;ModelName;distinct_users;distinct_requests
2015;101;NOT FOUND;NOT FOUND;1;1
2015;142;NOT FOUND;NOT FOUND;1;1
2015;19X;HONDA;CIVIC;1;1
2015;1B3;CHRYSLER;JA - BREEZE/ STRATUS/ CIRRUS;1;1
2015;1B3;CHRYSLER;JR - STRATUS/ SEBRING;5;12
2015;1b3;CHRYSLER;L -CONCORDE/ NEWYORKER/ LHS/ INTREPID/ VISION;1;1
2015;1b3;CHRYSLER;PL - NEON;1;4
2015;1b3;DODGE;PM - DODGE CALIBER;13;22
2015;1B3;NOT FOUND;NOT FOUND;1;1
2015;1b4;DODGE;DN - DURANGO;1;1
2015;1c3;CHRYSLER;JR - STRATUS/ SEBRING;6;6
2015;1C3;CHRYSLER;JS - AVENGER/ 200/ FLAVIA;4;6
2015;1c3;CHRYSLER;LE - CHRYSLER 300 (STEYR);3;5
2015;1C3;CHRYSLER;P -PASSENGER;3;3
2015;1C3;CHRYSLER;PL - NEON;1;1
2015;1C3;CHRYSLER;ZH - CROSSFIRE;1;1
2015;1C4;CHRYSLER;GS - VOYAGER (GRAZ);1;1
2015;1C4;CHRYSLER;P -PASSENGER;3;3
2015;1C4;CHRYSLER;RS - CARAVAN /  TOWN & COUNTRY;1;2
2015;1c4;JEEP;JK - JEEP WRANGLER;1;1
2015;1c4;JEEP;MK - JEEP COMPASS/ PATRIOT;1;1
2015;1c4;JEEP;WK - JEEP GRAND CHEROKEE;2;2
2015;1c4;NOT FOUND;NOT FOUND;2;4
2015;1c8;CHRYSLER;PT - CHRYSLER PT CRUISER;1;1
2015;1C8;CHRYSLER;RG - VOYAGER (GRAZ);1;1
2015;1D4;CHRYSLER;RS - CARAVAN /  TOWN & COUNTRY;4;4
2015;1D7;RAM;DR - RAM 1500 PICKUP;1;1
2015;1D8;CHRYSLER;RS - CARAVAN /  TOWN & COUNTRY;1;5
2015;1fa;FORD;Probe PA 1992-1997;1;1
2015;1FA;NOT FOUND;NOT FOUND;31;50
2015;1FB;NOT FOUND;NOT FOUND;2;6
2015;1FD;FORD;Probe PA 1992-1997;1;1
2015;1fm;FORD;Explorer EX 1992-2000;1;1
2015;1FM;FORD;Explorer TUB 2011-;2;6
2015;1fm;NOT FOUND;NOT FOUND;45;73
